Patient_County_Code,Admission_Start_Care_Date,RESP
58,20150101,10
59,20150101,16
60,20150101,4
61,20150101,13
62,20150101,5
58,20150102,11
59,20150102,28
60,20150102,10
61,20150102,20
62,20150102,5
58,20150103,12
59,20150103,18
60,20150103,9
61,20150103,12
62,20150103,4
58,20150104,9
59,20150104,19
60,20150104,8
61,20150104,12
62,20150104,5
58,20150105,5
59,20150105,15
60,20150105,9
61,20150105,14
62,20150105,5
58,20150106,14
59,20150106,17
60,20150106,15
61,20150106,15
62,20150106,5
58,20150107,13
59,20150107,18
60,20150107,10
61,20150107,8
62,20150107,6
58,20150108,5
59,20150108,12
60,20150108,5
61,20150108,11
62,20150108,2
58,20150109,9
59,20150109,21
60,20150109,1
61,20150109,15
62,20150109,1
58,20150110,3
59,20150110,14
60,20150110,4
61,20150110,11
62,20150110,3
58,20150111,10
59,20150111,14
60,20150111,4
61,20150111,8
62,20150111,1
58,20150112,9
59,20150112,23
60,20150112,4
61,20150112,12
62,20150112,4
58,20150113,14
59,20150113,13
60,20150113,10
61,20150113,10
62,20150113,5
58,20150114,15
59,20150114,10
60,20150114,6
61,20150114,9
62,20150114,2
58,20150115,9
59,20150115,19
60,20150115,7
61,20150115,18
62,20150115,2
58,20150116,7
59,20150116,11
60,20150116,7
61,20150116,10
62,20150116,1
58,20150117,13
59,20150117,10
60,20150117,9
61,20150117,8
62,20150117,1
58,20150118,14
59,20150118,19
60,20150118,7
61,20150118,12
62,20150118,2
58,20150119,8
59,20150119,15
60,20150119,9
61,20150119,17
62,20150119,7
58,20150120,10
59,20150120,16
60,20150120,13
61,20150120,12
62,20150120,2
58,20150121,17
59,20150121,19
60,20150121,8
61,20150121,10
62,20150121,1
58,20150122,8
59,20150122,10
60,20150122,6
61,20150122,10
62,20150122,4
58,20150123,11
59,20150123,13
60,20150123,8
61,20150123,14
62,20150123,5
58,20150124,8
59,20150124,8
60,20150124,4
61,20150124,13
62,20150124,1
58,20150125,9
59,20150125,16
60,20150125,10
61,20150125,5
62,20150125,3
58,20150126,10
59,20150126,17
60,20150126,9
61,20150126,10
62,20150126,3
58,20150127,9
59,20150127,5
60,20150127,5
61,20150127,9
62,20150127,1
58,20150128,11
59,20150128,19
60,20150128,8
61,20150128,13
62,20150128,3
58,20150129,9
59,20150129,11
60,20150129,7
61,20150129,14
62,20150129,1
58,20150130,11
59,20150130,15
60,20150130,7
61,20150130,14
62,20150130,5
58,20150131,7
59,20150131,9
60,20150131,5
61,20150131,10
62,20150131,1
58,20150201,7
59,20150201,18
60,20150201,5
61,20150201,12
62,20150201,3
58,20150202,8
59,20150202,18
60,20150202,8
61,20150202,10
62,20150202,1
58,20150203,7
59,20150203,3
60,20150203,12
61,20150203,18
62,20150203,4
58,20150204,14
59,20150204,14
60,20150204,8
61,20150204,15
62,20150204,4
58,20150205,4
59,20150205,13
60,20150205,6
61,20150205,11
62,20150205,3
58,20150206,11
59,20150206,11
60,20150206,8
61,20150206,7
62,20150206,3
58,20150207,10
59,20150207,15
60,20150207,8
61,20150207,12
62,20150207,3
58,20150208,6
59,20150208,15
60,20150208,8
61,20150208,13
62,20150208,2
58,20150209,12
59,20150209,10
60,20150209,6
61,20150209,10
62,20150209,2
58,20150210,16
59,20150210,10
60,20150210,4
61,20150210,10
62,20150210,0
58,20150211,9
59,20150211,11
60,20150211,9
61,20150211,10
62,20150211,0
58,20150212,11
59,20150212,10
60,20150212,7
61,20150212,7
62,20150212,2
58,20150213,15
59,20150213,16
60,20150213,2
61,20150213,9
62,20150213,2
58,20150214,10
59,20150214,10
60,20150214,6
61,20150214,8
62,20150214,1
58,20150215,5
59,20150215,10
60,20150215,4
61,20150215,10
62,20150215,1
58,20150216,15
59,20150216,7
60,20150216,7
61,20150216,12
62,20150216,0
58,20150217,11
59,20150217,14
60,20150217,8
61,20150217,12
62,20150217,6
58,20150218,14
59,20150218,21
60,20150218,10
61,20150218,11
62,20150218,1
58,20150219,9
59,20150219,11
60,20150219,4
61,20150219,9
62,20150219,3
